serialno,sporder,wagp,occp,rac1p,fhisp
2013000113111,1,39500,5240,6,0
2013000113111,2,18000,4950,6,0
2013000113111,3,,,6,0
2013000113111,4,0,,6,0
2013000113111,5,0,,6,0
2013000113111,6,,,6,0
2013000113187,1,20400,8740,6,0
2013000113187,2,0,,6,0
2013000113187,3,20000,4110,6,0
2013000113201,1,0,,1,0
2013000113201,2,11500,4030,3,0
2013000113201,3,19000,2010,6,0
2013000113434,1,6000,5940,6,0
2013000113434,2,13000,4430,1,0
2013000113800,1,75000,2430,1,0
2013000113800,2,0,9920,6,0
2013000113800,3,,,9,0
2013000114406,1,200000,1020,6,0
2013000114455,1,50000,2310,6,0
2013000114455,2,6200,6260,6,0
2013000114455,3,0,6260,6,0
2013000115412,1,65000,4965,1,0
2013000115412,2,85000,2630,1,0
2013000116816,1,43000,4710,8,0
2013000117357,1,36000,8300,1,0
2013000117357,2,0,,1,0
2013000117357,3,,,1,0
2013000117357,4,,,1,0
2013000117892,1,80000,1010,1,0
2013000118582,1,109000,840,1,0
2013000118582,2,13700,4030,1,0
2013000118790,1,0,,1,0
2013000119312,1,0,3060,1,0
2013000119312,2,15700,4760,1,0
2013000119463,1,0,,1,0
2013000119903,1,0,,1,0
2013000119948,1,120000,430,6,0
2013000119948,2,120000,430,1,0
2013000119948,3,,,8,0
2013000119948,4,,,6,0
2013000120184,1,85000,3010,6,0
2013000120274,1,36000,100,1,0
2013000120388,1,0,,6,0
2013000120600,1,100000,50,1,0
2013000121049,1,40000,4220,2,0
2013000121358,1,60000,4520,1,0
2013000121502,1,0,,1,0
2013000121502,2,0,,1,0
2013000122062,1,0,6200,1,0
2013000122062,2,23400,4350,9,0
2013000122200,1,182000,2100,1,0
2013000122200,2,80000,1530,1,0
2013000122241,1,421000,140,1,0
2013000122241,2,160000,300,1,0
2013000122445,1,45000,310,6,0
2013000122445,2,21000,7750,6,0
2013000122445,3,10000,1820,6,0
2013000122468,1,0,,1,0
2013000122804,1,0,,6,0
2013000123185,1,0,,1,0
2013000123223,1,10000,4040,9,0
2013000124363,1,228000,2100,1,0
2013000124363,2,40000,5700,1,0
2013000124860,1,0,,2,0
2013000125360,1,3600,6050,1,0
2013000126055,1,115000,4700,1,0
2013000126055,2,104000,410,1,0
2013000126689,1,163000,1760,1,0
2013000126963,1,150000,230,1,0
2013000127265,1,38600,1400,1,0
2013000127265,2,84000,3255,1,0
2013000127514,1,92000,20,1,0
2013000127514,2,40000,4410,1,0
2013000128061,1,100000,4820,1,0
2013000128061,2,0,,1,0
2013000128061,3,,,1,0
2013000128061,4,,,1,0
2013000129057,1,15300,6710,1,0
2013000129145,1,36000,6420,1,0
2013000129145,2,80000,9830,2,0
2013000129145,3,12000,4040,1,0
2013000131114,1,42000,5500,6,0
2013000131114,2,0,4520,6,0
2013000131114,3,,,6,0
2013000131116,1,0,4700,1,0
2013000131116,2,0,4700,1,0
2013000131116,3,,,1,0
2013000131718,1,20000,120,1,0
2013000132013,1,0,2160,1,0
2013000132144,1,0,,1,1
2013000132231,1,24000,5700,2,0
2013000132276,1,85000,2630,6,0
2013000132904,1,70000,2600,1,0
2013000132904,2,50000,4130,1,0
2013000133546,1,0,,6,1
2013000133612,1,60000,2720,1,0
2013000133612,2,48000,4820,1,0
2013000133697,1,0,,6,0
2013000135170,1,23000,3930,2,0
2013000135170,2,,,2,0
2013000135420,1,12000,4040,1,0
2013000135465,1,0,710,1,0
2013000135590,1,45000,5810,1,0
2013000135590,2,123000,1320,1,0
2013000135590,3,72000,710,1,0
2013000136257,1,0,,1,0
2013000136728,1,75000,1010,6,0
2013000136728,2,0,4620,1,0
2013000136828,1,0,,1,0
2013000136828,2,30000,430,1,0
2013000137735,1,35000,4830,1,0
2013000137810,1,0,,1,0
2013000137810,2,0,,1,0
2013000138351,1,0,,6,0
2013000138351,2,0,,6,0
2013000138351,3,23000,9140,6,0
2013000138422,1,4500,4760,2,0
2013000138422,2,,,2,0
2013000138422,3,,,2,0
2013000138426,1,0,,6,0
2013000138426,2,0,,6,0
2013000138898,1,0,,6,0
2013000138898,2,28500,4950,6,0
2013000138898,3,0,9920,6,0
2013000139502,1,58000,430,1,0
2013000140524,1,0,,6,0
2013000140524,2,0,,6,0
2013000140704,1,0,,1,0
2013000141206,1,57000,5360,1,0
2013000141206,2,48000,725,1,0
2013000141961,1,0,,6,0
2013000142284,1,106000,1220,6,0
2013000142284,2,45000,430,6,0
2013000144850,1,100000,430,6,0
2013000144850,2,100000,2600,1,0
2013000145053,1,17000,4520,6,0
2013000145053,2,1600,9140,6,0
2013000145053,3,,,6,0
2013000145256,1,421000,710,1,0
2013000145276,1,0,,1,0
2013000145413,1,0,,8,0
2013000145413,2,0,1820,8,0
2013000145492,1,12000,4965,1,0
2013000145492,2,,,1,0
2013000146903,1,0,,6,0
2013000147115,1,0,4700,8,0
2013000147115,2,37000,8800,8,0
2013000147143,1,55000,4110,6,0
2013000147392,1,10800,6260,6,0
2013000147392,2,7800,4230,6,0
2013000147392,3,14500,4110,6,0
2013000147392,4,0,9920,6,0
2013000147581,1,0,,6,0
2013000147798,1,421000,120,1,0
2013000147798,2,421000,740,1,0
2013000147798,3,,,1,0
2013000147905,1,50000,410,8,0
2013000148113,1,421000,840,1,0
2013000148343,1,90000,430,1,0
2013000148356,1,67000,5240,1,0
2013000149303,1,45000,2010,1,0
2013000149506,1,0,,1,0
2013000149506,2,24000,5240,1,0
2013000149507,1,900,2910,3,0
2013000149507,2,0,4220,2,0
2013000150776,1,0,,1,0
2013000151098,1,50000,110,6,0
2013000151586,1,0,,1,1
2013000151710,1,28000,5540,2,0
2013000151710,2,,,2,0
2013000151710,3,,,2,0
2013000151710,4,,,2,0
2013000151710,5,11000,6230,2,0
2013000152256,1,160000,1010,6,0
2013000152557,1,96000,2630,6,0
2013000152966,1,100000,5000,1,0
2013000152966,2,150000,2825,1,0
2013000153525,1,7000,4600,1,0
2013000154010,1,55000,4840,1,0
2013000154010,2,150000,1020,1,0
2013000154021,1,45000,4220,6,0
2013000154021,2,45000,4230,6,0
2013000154021,3,50000,7200,6,0
2013000154447,1,33600,5620,6,0
2013000154447,2,14500,4965,6,0
2013000154447,3,,,6,1
2013000154447,4,,,6,1
2013000154447,5,,,6,1
2013000154447,6,,,6,1
2013000154447,7,0,,6,0
2013000154447,8,30000,4720,6,0
2013000154447,9,0,,6,0
2013000154474,1,52000,2830,1,0
2013000154474,2,30000,5510,1,0
2013000154886,1,0,9140,1,0
2013000154886,2,0,3255,1,0
2013000155181,1,55000,8760,6,0
2013000155181,2,3500,4520,6,0
