fips,renter_units_2000,renters_over30_2000,pct_costburdened_2000,renter_units_2017,renters_over30_2017,pct_costburdened_2017
06077005129,215,59,0.274418605,291,119,0.408934708
06075047701,1257,489,0.38902148,1211,496,0.40957886
06001428301,433,201,0.464203233,459,188,0.409586057
06001440301,409,141,0.344743276,576,236,0.409722222
06013345105,269,120,0.446096654,383,157,0.409921671
06077005403,288,50,0.173611111,573,235,0.410122164
06075016200,1360,472,0.347058824,1575,648,0.411428571
06077005207,84,26,0.30952381,896,369,0.411830357
06075010600,1810,706,0.390055249,1608,665,0.413557214
06001441800,859,348,0.405122235,1014,420,0.414201183
06075031202,247,90,0.36437247,282,117,0.414893617
06001408100,599,207,0.34557596,424,176,0.41509434
06077003700,293,124,0.423208191,514,214,0.416342412
06013313103,784,361,0.460459184,946,394,0.416490486
06075022802,430,126,0.293023256,533,222,0.416510319
06077005001,613,264,0.430668842,734,306,0.416893733
06001451101,176,48,0.272727273,417,174,0.417266187
06001421400,65,41,0.630769231,98,41,0.418367347
06075010100,1519,484,0.318630678,1833,768,0.41898527
06001450501,145,50,0.344827586,346,145,0.419075145
06013304002,56,22,0.392857143,181,76,0.419889503
06077005134,220,86,0.390909091,621,261,0.420289855
06075026002,187,62,0.331550802,245,103,0.420408163
06001423902,479,186,0.388308977,468,197,0.420940171
06013360200,792,357,0.450757576,691,291,0.421128799
06075047702,885,284,0.320903955,891,376,0.421997755
06001404502,350,81,0.231428571,336,142,0.422619048
06001440307,387,135,0.348837209,388,164,0.422680412
06075047802,823,314,0.381530984,802,339,0.422693267
06001425102,710,321,0.452112676,1383,585,0.422993492
06013359103,531,212,0.399246704,715,303,0.423776224
06075012201,2467,1088,0.441021484,2735,1161,0.424497258
06077003217,530,272,0.513207547,756,321,0.424603175
06001405000,686,189,0.275510204,513,218,0.424951267
06075047901,1312,385,0.293445122,1145,487,0.425327511
06075022801,926,268,0.289416847,1218,519,0.426108374
06077005133,440,223,0.506818182,490,209,0.426530612
06001442400,567,188,0.331569665,602,257,0.426910299
06075026302,254,61,0.24015748,637,272,0.42700157
06075023400,514,227,0.441634241,484,207,0.42768595
06001428000,1177,389,0.330501274,1131,484,0.427939876
06075017902,487,160,0.328542094,586,251,0.428327645
06001401800,537,273,0.508379888,586,251,0.428327645
06013341000,656,206,0.31402439,689,296,0.429608128
06001444100,432,241,0.55787037,370,159,0.42972973
06075042700,1789,544,0.304080492,1756,755,0.429954442
06013339001,1355,470,0.346863469,1787,769,0.430330162
06001437102,444,156,0.351351351,743,320,0.430686406
06077001102,949,357,0.376185458,1054,456,0.432637571
06075022901,1007,372,0.369414101,1197,518,0.432748538
06013351200,104,33,0.317307692,67,29,0.432835821
06001435800,306,118,0.385620915,450,195,0.433333333
06077005206,239,75,0.313807531,1981,861,0.434628975
06077005106,218,59,0.270642202,446,194,0.434977578
06001400800,905,358,0.39558011,995,433,0.435175879
06001438400,69,28,0.405797101,85,37,0.435294118
06013355114,107,32,0.299065421,480,209,0.435416667
06001436000,215,96,0.446511628,349,152,0.435530086
06075033000,773,207,0.26778784,1019,444,0.435721295
06075015500,1807,846,0.468179303,2003,873,0.435846231
06075010500,1175,508,0.432340426,1282,559,0.436037441
06075045200,1776,736,0.414414414,2093,913,0.436215958
06013319000,1040,337,0.324038462,1214,530,0.436573311
06001402500,533,236,0.442776735,610,267,0.437704918
06001405301,1418,485,0.34203103,1405,615,0.43772242
06013338102,427,193,0.451990632,164,72,0.43902439
06013366002,677,307,0.453471196,983,432,0.439471007
06001441601,260,124,0.476923077,238,105,0.441176471
06001436900,1023,386,0.377321603,1056,466,0.441287879
06013332000,578,221,0.382352941,677,299,0.441654357
06001437101,412,144,0.349514563,326,144,0.441717791
06013343003,237,60,0.253164557,224,99,0.441964286
06077002503,224,97,0.433035714,500,221,0.442
06001426100,115,20,0.173913043,190,84,0.442105263
06001406900,608,156,0.256578947,744,329,0.442204301
06077005210,235,53,0.225531915,1103,489,0.443336355
06001403100,372,178,0.478494624,489,217,0.443762781
06013345112,530,177,0.333962264,941,418,0.444208289
06077004104,57,18,0.315789474,180,80,0.444444444
06001437400,119,38,0.319327731,207,92,0.444444444
06001402700,526,219,0.41634981,535,238,0.444859813
06001441927,1118,388,0.347048301,1284,572,0.445482866
06075040200,1735,592,0.341210375,1509,673,0.445990722
06001428500,1022,405,0.3962818,938,419,0.446695096
06001406000,1120,424,0.378571429,1269,567,0.446808511
06001441302,531,223,0.419962335,610,273,0.447540984
06013321103,388,129,0.332474227,241,108,0.44813278
06075042800,214,37,0.172897196,203,91,0.448275862
06001405100,125,43,0.344,107,48,0.448598131
06013302008,214,104,0.485981308,594,267,0.449494949
06013343001,999,364,0.364364364,1159,521,0.449525453
06013351101,70,23,0.328571429,109,49,0.449541284
06013337200,977,421,0.430910952,1392,626,0.449712644
06075980900,43,6,0.139534884,120,54,0.45
06013345204,218,64,0.293577982,60,27,0.45
06001443001,137,29,0.211678832,271,122,0.450184502
06001400600,440,124,0.281818182,357,161,0.450980392
06001450741,721,261,0.361997226,795,359,0.451572327
06001433000,235,92,0.391489362,372,168,0.451612903
06013337100,286,87,0.304195804,250,113,0.452
06075035202,1201,479,0.398834305,1235,559,0.452631579
06001405302,1394,477,0.342180775,1371,621,0.452954048
06001420300,996,401,0.402610442,1061,481,0.4533459
06001407101,569,206,0.362038664,666,302,0.453453453
06001440334,159,63,0.396226415,198,90,0.454545455
06075012402,1863,885,0.475040258,2322,1057,0.455211025
06013350000,1105,363,0.328506787,1142,520,0.455341506
06001432300,562,196,0.348754448,647,295,0.455950541
06077005131,264,73,0.276515152,443,202,0.455981941
06075025600,365,114,0.312328767,469,214,0.456289979
06001431000,707,263,0.371994342,771,352,0.456549935
06077004704,248,42,0.169354839,486,222,0.456790123
06013355304,284,110,0.387323944,256,117,0.45703125
06001402900,872,278,0.318807339,863,395,0.457705678
06001428200,1109,369,0.332732191,1116,511,0.457885305
06001436200,869,306,0.352128884,1083,496,0.457987073
06075061200,581,272,0.468158348,731,335,0.458276334
06077005113,571,203,0.355516637,962,441,0.458419958
06001443104,293,111,0.37883959,615,282,0.458536585
06001450605,279,60,0.215053763,338,155,0.458579882
06013354002,235,133,0.565957447,438,201,0.45890411
06001422000,353,141,0.399433428,662,304,0.459214502
06075016100,2482,1018,0.410153102,2406,1105,0.459268495
06001442500,823,268,0.32563791,934,429,0.459314775
06001406700,668,205,0.306886228,770,354,0.45974026
06013334001,550,238,0.432727273,650,299,0.46
06075011901,1384,524,0.378612717,1047,482,0.460362942
06077005108,665,247,0.371428571,815,376,0.461349693
06013339002,2357,819,0.347475605,2757,1272,0.461371055
06001405500,1188,462,0.388888889,1236,571,0.46197411
06001450604,372,129,0.346774194,437,202,0.462242563
06075030302,327,139,0.425076453,292,135,0.462328767
06001451704,320,93,0.290625,575,266,0.462608696
06077005405,505,214,0.423762376,589,273,0.463497453
06001402800,1216,564,0.463815789,2261,1048,0.46351172
06001451504,140,59,0.421428571,211,98,0.464454976
06013307101,393,213,0.541984733,437,203,0.464530892
06013302007,343,167,0.486880466,705,328,0.465248227
06001432700,228,61,0.26754386,318,148,0.465408805
06001403400,2195,929,0.423234624,2508,1169,0.466108453
06013346204,132,43,0.325757576,251,117,0.466135458
06001410000,80,50,0.625,90,42,0.466666667
06001442602,650,210,0.323076923,647,302,0.466769706
06075012000,2532,1193,0.471169036,2388,1115,0.466917923
06001405600,1096,446,0.406934307,938,438,0.466950959
06077001400,979,454,0.463738509,1079,504,0.467099166
06013345108,1058,267,0.252362949,873,409,0.468499427
06075025702,399,168,0.421052632,644,302,0.468944099
06001432400,887,309,0.348365276,1066,500,0.469043152
06013349000,735,274,0.372789116,893,419,0.469204927
06013359203,362,130,0.359116022,409,192,0.469437653
06075026200,590,182,0.308474576,651,306,0.470046083
06001438000,336,135,0.401785714,398,188,0.472361809
06001407800,256,59,0.23046875,222,105,0.472972973
06001436401,1323,712,0.538170824,1505,713,0.473754153
06013359204,163,38,0.233128834,175,83,0.474285714
06001450750,1,0,0,1158,550,0.474956822
06001422100,579,291,0.502590674,580,276,0.475862069
06001423700,879,337,0.383390216,779,371,0.476251605
06077003209,295,96,0.325423729,170,81,0.476470588
06077005122,330,115,0.348484848,581,277,0.4767642
06075012202,1207,533,0.441590721,1580,754,0.47721519
06075032901,480,189,0.39375,440,210,0.477272727
06013390200,74,24,0.324324324,111,53,0.477477477
06001444301,416,148,0.355769231,333,159,0.477477477
06013384000,223,57,0.255605381,247,118,0.477732794
06001428600,745,233,0.312751678,747,357,0.477911647
06077003801,20,0,0,1143,547,0.478565179
06075031201,489,178,0.36400818,911,436,0.478594951
06001407400,724,338,0.466850829,771,369,0.478599222
06075061000,101,25,0.247524752,668,320,0.479041916
06075012502,2139,1070,0.500233754,2239,1073,0.4792318
06075012100,2265,925,0.408388521,1997,959,0.48022033
06001441522,254,77,0.303149606,329,158,0.480243161
06013321101,532,191,0.359022556,901,433,0.480577137
06075017601,2292,952,0.415357766,4576,2202,0.481206294
06001420100,267,100,0.374531835,268,129,0.481343284
06001410400,336,121,0.360119048,484,233,0.481404959
06013302009,91,34,0.373626374,906,437,0.482339956
06001402600,464,219,0.471982759,568,274,0.482394366
06013378000,756,251,0.332010582,682,329,0.482404692
06013338204,1413,440,0.311394197,1242,600,0.483091787
06001441521,312,173,0.554487179,374,181,0.483957219
06001431200,1182,612,0.517766497,1254,607,0.484051037
06001423500,947,422,0.44561774,1006,487,0.484095427
06013355111,155,83,0.535483871,452,219,0.484513274
06001401300,1302,580,0.44546851,1481,718,0.484807562
06075016000,1072,446,0.416044776,1303,632,0.485034536
06075030600,90,14,0.155555556,136,66,0.485294118
06001410500,502,230,0.458167331,809,393,0.48578492
06001438203,189,74,0.391534392,310,151,0.487096774
06001450746,243,91,0.374485597,322,157,0.48757764
06013322000,621,293,0.471819646,593,290,0.489038786
06075015900,1698,691,0.406949352,1601,783,0.489069332
06001450603,171,73,0.426900585,292,143,0.489726027
06013365003,906,418,0.461368653,1668,820,0.491606715
06013376000,1118,539,0.482110912,1124,553,0.491992883
06001435602,1078,391,0.36270872,1083,533,0.492151431
06077001600,310,144,0.464516129,398,196,0.492462312
06001405700,947,399,0.421330517,1043,514,0.492809204
06013362000,244,67,0.274590164,300,148,0.493333333
06075012302,1853,810,0.43712898,1887,932,0.49390567
06001421800,304,167,0.549342105,301,149,0.495016611
06077001101,571,206,0.360770578,807,400,0.495662949
06077004501,451,224,0.496674058,355,176,0.495774648
06001440304,378,201,0.531746032,397,197,0.496221662
06001437200,743,297,0.399730821,864,429,0.496527778
06075033100,157,43,0.27388535,177,88,0.497175141
06075023103,1241,494,0.398066076,814,405,0.497542998
06001433700,567,160,0.282186949,673,335,0.497771174
06001427200,1038,474,0.456647399,1000,499,0.499
06013334004,1278,496,0.388106416,1368,683,0.499269006
06077004105,483,139,0.287784679,580,290,0.5
06075026303,390,140,0.358974359,514,257,0.5
06001410300,548,334,0.609489051,612,306,0.5
06001440336,594,181,0.304713805,667,334,0.500749625
06001425104,940,426,0.453191489,1332,667,0.500750751
06001407500,835,428,0.51257485,1000,501,0.501
06001435400,1439,714,0.496177901,1239,621,0.501210654
06077003215,1115,450,0.403587444,1215,610,0.502057613
06001450701,227,49,0.215859031,470,236,0.50212766
06001450752,12,0,0,229,115,0.502183406
06013372000,711,314,0.441631505,887,447,0.503945885
06077004305,795,303,0.381132075,1072,541,0.504664179
06001410100,349,177,0.507163324,428,216,0.504672897
06013361000,522,232,0.444444444,737,373,0.506105834
06077005123,687,295,0.429403202,691,350,0.506512301
06077005119,198,90,0.454545455,647,328,0.506955178
