FIPS,TotalPop,County,EnviroScore,EnviroPerc,SB535,Ozone,PM2.5,Diesel,Tox_Release,Traffic,Asthma,LowBirthWeight,Poverty,Hispanic,NHWhite,Black,Asian,Other
6059052502,5913,Orange ,22.75206338,44.60839955,No,0.047908481,9.95548266,22.41311826,50283.69765,1552.06,38.47,4.11,9.6,24.1,51.6,1.4,20.1,2.7
6059052505,4916,Orange ,13.35398881,20.97364106,No,0.047908481,9.53630303,42.40032089,11118.1637,1866.39,24.05,2.36,23.2,13.3,45.4,2,35.7,3.6
6059052506,2490,Orange ,10.52772136,14.28931769,No,0.047908481,9.53630303,28.64856898,10307.19834,357.96,18.86,4.21,12.9,8.6,62.9,1.6,23.6,3.3
6059052511,5672,Orange ,16.24175114,28.40206836,No,0.047908481,9.53630303,13.04,13183.01709,378.16,26.19,5.42,15.2,6.8,62.9,1,24.8,4.6
6059052513,5675,Orange ,6.690408127,6.053726826,No,0.047908481,9.53630303,13.71015385,10056.12019,362.35,20.82,2.45,16.7,11.4,56.8,1.2,26.5,4.1
6059052514,5327,Orange ,14.96215033,25.02207088,No,0.047908481,9.53630303,13.04,10281.91459,1433.69,13.93,4.73,21.6,8.8,53.6,1.6,29,6.9
6059052515,8833,Orange ,15.57282033,26.67423383,No,0.047908481,9.53630303,13.5136311,19626.87315,420.86,17.72,3.9,20.8,8.8,33.1,1.1,52.6,4.4
6059052517,10096,Orange ,21.66417988,42.37608778,No,0.047908481,9.53630303,37.23426411,8333.098506,1549.62,22.91,5.05,11.7,8,41.5,1.5,44.2,4.9
6059052518,2688,Orange ,18.19583001,33.69907933,No,0.047908481,9.1171234,34.22407259,6468.373016,2028.01,28.37,3.74,18.6,9.9,60.6,2.7,21.2,5.7
6059052519,4212,Orange ,15.16323213,25.48871232,No,0.046178296,9.53630303,13.04,14387.64079,1493.94,16,4.78,16.2,11.4,51.3,1.6,29.4,6.3
6059052520,3460,Orange ,9.294569114,11.52730483,No,0.046178296,9.53630303,13.04,12800.99571,312.56,17.83,3.26,24.2,8.2,60.5,1.5,25.3,4.6
6059052521,5391,Orange ,16.42342494,28.84348594,No,0.046178296,9.53630303,19.78581049,26170.64636,416.64,20.4,4.04,27.2,13.6,37.5,3.7,37.8,7.4
6059052522,4123,Orange ,10.37791425,13.9235717,No,0.046178296,9.53630303,18.48367687,21723.63817,400.51,19.37,4.23,19,8.2,38.2,2,46.7,4.9
6059052523,4175,Orange ,15.63121497,26.85080086,No,0.046178296,9.53630303,20.49831927,21016.15133,1826.75,14.61,4.81,14.6,9,43,1.2,41.6,5.2
6059052524,7952,Orange ,19.34712833,36.68810695,No,0.047908481,10.37,17.94299287,31616.4364,2226.96,18.99,4.31,30.3,21.1,45.2,2.4,26.7,4.6
6059052525,15473,Orange ,19.89203794,38.03758355,No,0.047908481,9.95548266,30.29317567,17332.75939,1569.04,19.05,5.73,18.8,8.9,39.7,1.8,44.5,5.1
6059052526,4355,Orange ,11.19627452,15.4748392,No,0.047908481,9.53630303,22.55359302,14374.00307,1659.31,25.39,3.59,13.2,13.5,42.8,1.7,37.9,4.2
6059052527,8391,Orange ,16.44541633,28.91915752,No,0.047908481,9.95548266,22.43304984,21355.17249,1521.94,13.8,4.47,25.7,9.6,39,2,44.2,5.2
6059052528,3469,Orange ,10.00292929,13.28036322,No,0.047908481,9.53630303,13.57395565,14077.01757,437.86,26.19,4.78,17.2,8.8,46.2,1.7,39.1,4.3
6059062604,15174,Orange ,11.7862811,17.00088284,No,0.047908481,9.1171234,7.212271772,4840.214421,1188.76,16.95,4.38,12.2,6.1,57.7,0.7,31.4,4.1
6059062605,3094,Orange ,9.39535455,11.76693152,No,0.046178296,8.69794377,2.747666565,2828.537081,730.53,28.63,3.85,17.9,9.2,85.2,0.5,2.1,3
6059062610,6393,Orange ,27.02997781,53.9412284,No,0.046178296,9.95548266,25.86861803,16367.11459,1945.67,22.82,5.16,20.3,9.4,54.3,2.7,28.4,5.3
6059062611,4105,Orange ,31.16781359,61.54622273,No,0.046178296,9.53630303,23.75839484,17757.22836,1656.64,22.92,5.47,46,11.2,42,2.4,39.5,4.9
